epoch,train_loss,val_loss,bleu,time
1,5.151066693828683,4.477473420756204,13.098753000366608,174.4
2,4.359546763139285,4.0818090949739725,18.01350199367677,166.1
3,4.041563976089043,3.858546027115413,17.208731207169162,159.4
4,3.8270789929103572,3.710399091243744,19.750896289474117,174.7
5,3.667461038469921,3.5821574415479387,19.974846477088512,171.8
6,3.5415939748808523,3.5003927435193742,20.082448373479032,188.1
7,3.4394406994994804,3.420489856175014,20.03415902092197,183.9
8,3.352509478195068,3.355995842388698,21.51139793643744,190.1
9,3.2776947186222576,3.307476920740945,21.68483542745733,173.3
10,3.2118799546369656,3.2385458179882596,19.589472077522473,173.0
