epoch,train_loss,val_loss,bleu,time
1,4.766154944827188,4.026518685477121,17.132224044820873,220.4
2,3.856738512821865,3.574761314051492,19.232321375343282,217.0
3,3.4630318315661683,3.3503765208380565,21.649818842499016,211.8
4,3.197898924072699,3.168671556881496,22.99035376453299,216.3
5,3.0080525123690727,3.031859823635646,23.068587004664245,218.1
6,2.865874183108438,2.978419142110007,23.732706253917314,213.1
7,2.7514943159703957,2.9082267114094327,24.714677656535283,212.0
8,2.6604500804628644,2.8842756492750987,24.294002569775568,207.8
9,2.583146533743633,2.8525737694331577,25.152596546552463,213.2
10,2.5162699697837887,2.843392176287515,24.637219542802832,222.4
