epoch,train_loss,val_loss,bleu,time
1,4.618413925831241,3.9820530584880283,18.73973791153651,455.1
2,3.746214925026407,3.5784411941255843,18.9947791522053,429.8
3,3.3759578241551234,3.3391851442200795,18.35459529953174,428.4
4,3.1330962934229882,3.2146738512175426,18.51448391085477,428.6
5,2.9419840260427828,3.133186791624342,18.140258255490817,428.7
6,2.7727169579041595,3.040555076939719,20.156867184502993,429.3
7,2.6326845710896194,3.032285119806017,20.495328960221844,429.4
8,2.514633049961429,2.9758969715663364,20.666979900510896,427.4
9,2.4086858546073513,2.9614767943109785,21.0350554320216,450.4
10,2.3143760573238397,2.9514787111963545,21.79555752432477,436.9
